,Date Reported,Holder,pctHeld,Shares,Value
0,2023-06-30,Vanguard Total Stock Market Index Fund,0.0296,19692649,6076757628
1,2023-06-30,Vanguard 500 Index Fund,0.0226,15036344,4639915031
2,2023-05-31,Fidelity 500 Index Fund,0.0106,7046851,2155772657
3,2023-08-31,SPDR S&P 500 ETF Trust,0.0105,6958069,2252814000
4,2023-08-31,iShares Core S&P 500 ETF,0.0089,5906819,1912450787
5,2023-06-30,Vanguard Growth Index Fund,0.0081,5373348,1658107725
6,2023-07-31,Vanguard Specialized-Dividend Growth Fund,0.0072000003,4754021,1503934543
7,2023-06-30,Vanguard Institutional Index Fund-Institutional Index Fund,0.0064999997,4311055,1330305351
8,2023-05-31,MFS Series Trust I-MFS Value Fund,0.0058,3826437,1170583607
9,2023-08-31,Select Sector SPDR Fund-Technology,0.0058,3851555,1247017962
