,2024-08-31,2024-05-31,2024-02-29,2023-11-30,2023-08-31,2023-05-31,2023-02-28
Free Cash Flow,3175795000.0,3017885000.0,1991220000.0,429618000.0,3229094000.0,,
Repurchase Of Capital Stock,-628430000.0,-1383242000.0,-1321846000.0,-1191128000.0,-1004553000.0,,
Repayment Of Debt,-671246000.0,,,,,,
Issuance Of Debt,0.0,,,,,,
Issuance Of Capital Stock,150808000.0,504516000.0,285373000.0,477434000.0,156432000.0,,
Capital Expenditure,-213636000.0,-124117000.0,-109823000.0,-68933000.0,-180294000.0,,
Income Tax Paid Supplemental Data,445420000.0,454196000.0,923645000.0,563359000.0,541583000.0,,
End Cash Position,5004469000.0,5537217000.0,5121107000.0,7140841000.0,9045032000.0,,
Beginning Cash Position,5537217000.0,5121107000.0,7140841000.0,9045032000.0,8535446000.0,,
Effect Of Exchange Rate Changes,53945000.0,-58022000.0,-46788000.0,4601000.0,-52411000.0,,
Changes In Cash,-586693000.0,474132000.0,-1972946000.0,-1908792000.0,561997000.0,,
Financing Cash Flow,-2428950000.0,-216904000.0,-1865741000.0,-1551913000.0,-1480301000.0,,
Cash Flow From Continuing Financing Activities,-2428950000.0,-216904000.0,-1865741000.0,-1551913000.0,-1480301000.0,,
Net Other Financing Charges,-472213000.0,-38431000.0,-12975000.0,-19682000.0,-19739000.0,,
Cash Dividends Paid,-807869000.0,-810976000.0,-812578000.0,-810056000.0,-706063000.0,,
Common Stock Dividend Paid,-807869000.0,-810976000.0,-812578000.0,-810056000.0,-706063000.0,,
Net Common Stock Issuance,-477622000.0,-878726000.0,-1036473000.0,-713694000.0,-848121000.0,,
Common Stock Payments,-628430000.0,-1383242000.0,-1321846000.0,-1191128000.0,-1004553000.0,,
Common Stock Issuance,150808000.0,504516000.0,285373000.0,477434000.0,156432000.0,,
Net Issuance Payments Of Debt,-671246000.0,1511229000.0,-3715000.0,-8481000.0,93622000.0,,
Net Long Term Debt Issuance,-671246000.0,,,,93622000.0,44000.0,1203000.0
Long Term Debt Payments,-671246000.0,,,,,,
Long Term Debt Issuance,0.0,,,,,,
Investing Cash Flow,-1547174000.0,-2450966000.0,-2208248000.0,-855430000.0,-1367090000.0,,
Cash Flow From Continuing Investing Activities,-1547174000.0,-2450966000.0,-2208248000.0,-855430000.0,-1367090000.0,,
Net Other Investing Changes,2168000.0,2851000.0,2125000.0,1528000.0,3786000.0,,
Net Business Purchase And Sale,-1335706000.0,-2329700000.0,-2100550000.0,-788025000.0,-1190582000.0,,
Sale Of Business,7816000.0,0.0,20905000.0,0.0,6274000.0,,
Purchase Of Business,-1343522000.0,-2329700000.0,-2121455000.0,-788025000.0,-1196856000.0,,
Net PPE Purchase And Sale,-213636000.0,-124117000.0,-109823000.0,-68933000.0,-180294000.0,,
Purchase Of PPE,-213636000.0,-124117000.0,-109823000.0,-68933000.0,-180294000.0,,
Operating Cash Flow,3389431000.0,3142002000.0,2101043000.0,498551000.0,3409388000.0,,
Cash Flow From Continuing Operating Activities,3389431000.0,3142002000.0,2101043000.0,498551000.0,3409388000.0,,
Change In Working Capital,764020000.0,110641000.0,-595297000.0,-2438254000.0,1099754000.0,,
Change In Other Working Capital,-284481000.0,-119967000.0,943240000.0,-510391000.0,-221302000.0,,
Change In Other Current Liabilities,-73806000.0,-176606000.0,265533000.0,-293092000.0,-169143000.0,,
Change In Other Current Assets,40706000.0,-266345000.0,31084000.0,-658647000.0,62730000.0,,
Change In Payables And Accrued Expense,1096321000.0,613439000.0,-2024050000.0,-139893000.0,929586000.0,,
Change In Accrued Expense,496119000.0,429909000.0,-1267036000.0,-273763000.0,802664000.0,,
Change In Payable,600202000.0,183530000.0,-757014000.0,133870000.0,126922000.0,,
Change In Account Payable,394655000.0,-34202000.0,-362669000.0,48728000.0,71416000.0,,
Change In Tax Payable,205547000.0,217732000.0,-394345000.0,85142000.0,55506000.0,,
Change In Income Tax Payable,205547000.0,217732000.0,-394345000.0,85142000.0,55506000.0,,
Change In Receivables,-14720000.0,60120000.0,188896000.0,-836231000.0,497883000.0,,
Other Non Cash Items,281925000.0,118774000.0,7549000.0,184828000.0,275385000.0,,
Stock Based Compensation,402788000.0,473931000.0,641871000.0,423000000.0,383017000.0,,
Deferred Tax,-171731000.0,111883000.0,-9769000.0,-24371000.0,-132716000.0,,
Deferred Income Tax,-171731000.0,111883000.0,-9769000.0,-24371000.0,-132716000.0,,
Depreciation Amortization Depletion,393763000.0,345425000.0,347487000.0,343367000.0,375736000.0,,
Depreciation And Amortization,393763000.0,345425000.0,347487000.0,343367000.0,375736000.0,,
Amortization Cash Flow,252202000.0,207293000.0,212490000.0,210122000.0,201921000.0,,
Amortization Of Intangibles,252202000.0,207293000.0,212490000.0,210122000.0,201921000.0,,
Depreciation,141561000.0,138132000.0,134997000.0,133245000.0,173815000.0,,
Net Income From Continuing Operations,1718666000.0,1981348000.0,1709202000.0,2009981000.0,1408212000.0,,
