,Date Reported,Holder,pctHeld,Shares,Value
0,2023-06-30,Vanguard Group Inc,0.089700006,81710807,10933723084
1,2023-06-30,Blackrock Inc.,0.0813,74044855,9907942047
2,2023-06-30,State Street Corporation,0.0598,54441615,7284832503
3,2023-06-30,"Geode Capital Management, LLC",0.0183,16701893,2234880302
4,2023-06-30,Morgan Stanley,0.015700001,14338299,1918607789
5,2023-06-30,Northern Trust Corporation,0.0105,9565726,1279989796
6,2023-06-30,Bank of America Corporation,0.0099,8976162,1201100237
7,2023-06-30,JP Morgan Chase & Company,0.0093,8454981,1131361007
8,2023-06-30,"Ameriprise Financial, Inc.",0.0087,7933922,1061638102
9,2023-06-30,Bank Of New York Mellon Corporation,0.0087,7884012,1054959645
