,Date Reported,Holder,pctHeld,Shares,Value
0,2023-06-30,Vanguard Total Stock Market Index Fund,0.0311,28310153,3788181572
1,2023-06-30,Vanguard 500 Index Fund,0.023699999,21619801,2892945571
2,2023-05-31,Fidelity 500 Index Fund,0.0111,10117256,1300977949
3,2023-08-31,SPDR S&P 500 ETF Trust,0.011,10004912,1469021228
4,2023-08-31,iShares Core S&P 500 ETF,0.0093,8493062,1247036293
5,2023-06-30,Vanguard Index-Value Index Fund,0.0087,7888949,1055620265
6,2023-06-30,Vanguard Institutional Index Fund-Institutional Index Fund,0.0068,6198623,829437743
7,2023-08-31,SPDR Dow Jones Industrial Average ETF,0.0062,5672166,832844133
8,2023-08-31,Select Sector SPDR Fund-Technology,0.0061000003,5537942,813136023
9,2023-05-31,Vanguard Information Technology Index Fund,0.0053,4797694,616935471
