,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31
Treasury Shares Number,1353024302.0,1352573051.0,1352471614.0,1351897514.0,1352079846.0,,
Ordinary Shares Number,924645152.0,921148195.0,918602665.0,915013646.0,913118581.0,,
Share Issued,2277669454.0,2273721246.0,2271074279.0,2266911160.0,2265198427.0,,
Net Debt,43382000000.0,44321000000.0,44901000000.0,43479000000.0,47984000000.0,,
Total Debt,60126000000.0,59839000000.0,62871000000.0,59935000000.0,58524000000.0,,
Tangible Book Value,-47735000000.0,-45641000000.0,-47022000000.0,-48681000000.0,-47792000000.0,,
Invested Capital,81027000000.0,80557000000.0,82765000000.0,79080000000.0,78322000000.0,,
Working Capital,1690000000.0,3651000000.0,4266000000.0,-1214000000.0,-2901000000.0,,
Net Tangible Assets,-47735000000.0,-45641000000.0,-47022000000.0,-48681000000.0,-47792000000.0,,
Capital Lease Obligations,3547000000.0,3308000000.0,3367000000.0,3388000000.0,3283000000.0,,
Common Stock Equity,24448000000.0,24026000000.0,23261000000.0,22533000000.0,23081000000.0,,
Total Capitalization,77428000000.0,76955000000.0,77294000000.0,72654000000.0,71909000000.0,,
Total Equity Gross Minority Interest,24530000000.0,24103000000.0,23333000000.0,22613000000.0,23156000000.0,,
Minority Interest,82000000.0,77000000.0,72000000.0,80000000.0,75000000.0,,
Stockholders Equity,24448000000.0,24026000000.0,23261000000.0,22533000000.0,23081000000.0,,
Other Equity Interest,-1000000.0,,1000000.0,-1000000.0,,,
Gains Losses Not Affecting Retained Earnings,-16418000000.0,-18319000000.0,-18488000000.0,-18761000000.0,-16098000000.0,,
Other Equity Adjustments,-16418000000.0,-18319000000.0,-18488000000.0,-18761000000.0,-16098000000.0,,
Treasury Stock,169935000000.0,169815000000.0,169759000000.0,169624000000.0,169640000000.0,,
Retained Earnings,149789000000.0,151659000000.0,151362000000.0,151276000000.0,149506000000.0,,
Capital Stock,61013000000.0,60501000000.0,60145000000.0,59643000000.0,59313000000.0,,
Common Stock,61013000000.0,60501000000.0,60145000000.0,59643000000.0,59313000000.0,,
Total Liabilities Net Minority Interest,109809000000.0,109745000000.0,113836000000.0,112628000000.0,106165000000.0,,
Total Non Current Liabilities Net Minority Interest,80956000000.0,80097000000.0,81439000000.0,78506000000.0,75559000000.0,,
Other Non Current Liabilities,11187000000.0,10933000000.0,10914000000.0,1164000000.0,12080000000.0,,
Derivative Product Liabilities,,,,299000000.0,,,
Employee Benefits,10366000000.0,10200000000.0,10421000000.0,12553000000.0,9090000000.0,,
Non Current Pension And Other Postretirement Benefit Plans,10366000000.0,10200000000.0,10421000000.0,12245000000.0,9090000000.0,,
Non Current Accrued Expenses,,,,206000000.0,,,
Non Current Deferred Liabilities,3666000000.0,3489000000.0,3488000000.0,4679000000.0,3085000000.0,,
Non Current Deferred Revenue,3666000000.0,3489000000.0,3488000000.0,3533000000.0,3085000000.0,,
Non Current Deferred Taxes Liabilities,,,,1146000000.0,,,
Long Term Debt And Capital Lease Obligation,55737000000.0,55475000000.0,56616000000.0,52689000000.0,51304000000.0,,
