,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31
Tax Effect Of Unusual Items,-7980000.0,0.0,-15120000.0,-9709497.206704,-4335000.0,,
Tax Rate For Calcs,0.21,0.175,0.21,0.126097,0.085,,
Normalized EBITDA,933000000.0,3801000000.0,2709000000.0,5393000000.0,3429000000.0,,
Total Unusual Items,-38000000.0,,-72000000.0,-77000000.0,-51000000.0,22000000.0,
Total Unusual Items Excluding Goodwill,-38000000.0,,-72000000.0,-77000000.0,-51000000.0,22000000.0,
Net Income From Continuing Operation Net Minority Interest,-317000000.0,1830000000.0,1575000000.0,3285000000.0,1714000000.0,,
Reconciled Depreciation,1268000000.0,1155000000.0,1131000000.0,1152000000.0,1093000000.0,,
Reconciled Cost Of Revenue,5570000000.0,5933000000.0,5845000000.0,6223000000.0,5888000000.0,,
EBITDA,895000000.0,3801000000.0,2637000000.0,5316000000.0,3378000000.0,,
EBIT,-373000000.0,2646000000.0,1506000000.0,4164000000.0,2285000000.0,,
Net Interest Income,-259000000.0,-210000000.0,-222000000.0,-262000000.0,-256000000.0,,
Interest Expense,429000000.0,427000000.0,432000000.0,405000000.0,412000000.0,,
Interest Income,170000000.0,217000000.0,210000000.0,143000000.0,156000000.0,,
Normalized Income,-286980000.0,1830000000.0,1631880000.0,3352290502.793296,1760665000.0,,
Net Income From Continuing And Discontinued Operation,-330000000.0,1834000000.0,1605000000.0,3288000000.0,1704000000.0,,
Total Expenses,13097000000.0,13356000000.0,13273000000.0,13414000000.0,12682000000.0,,
Diluted Average Shares,923577526.0,934397595.0,933400000.0,927300000.0,923673300.0,,
Basic Average Shares,923577526.0,920287541.0,917200000.0,914700000.0,912790387.0,,
Diluted EPS,-0.36,1.96,1.72,3.55,1.84,,
Basic EPS,-0.36,1.99,1.75,3.59,1.87,,
Diluted NI Availto Com Stockholders,-330000000.0,1834000000.0,1605000000.0,3288000000.0,1704000000.0,,
Net Income Common Stockholders,-330000000.0,1834000000.0,1605000000.0,3288000000.0,1704000000.0,,
Net Income,-330000000.0,1834000000.0,1605000000.0,3288000000.0,1704000000.0,,
Net Income Including Noncontrolling Interests,-330000000.0,1834000000.0,1605000000.0,3288000000.0,1704000000.0,,
Net Income Discontinuous Operations,-13000000.0,4000000.0,30000000.0,3000000.0,-10000000.0,,
Net Income Continuous Operations,-317000000.0,1830000000.0,1575000000.0,3285000000.0,1714000000.0,,
Tax Provision,-485000000.0,389000000.0,-502000000.0,474000000.0,159000000.0,,
Pretax Income,-802000000.0,2219000000.0,1074000000.0,3759000000.0,1873000000.0,,
Other Income Expense,-2413000000.0,16000000.0,106000000.0,54000000.0,58000000.0,,
Other Non Operating Income Expenses,-2375000000.0,16000000.0,178000000.0,131000000.0,109000000.0,,
Special Income Charges,,,0.0,3000000.0,0.0,2000000.0,4000000.0
Gain On Sale Of Ppe,,,0.0,3000000.0,0.0,2000000.0,4000000.0
Gain On Sale Of Security,-38000000.0,,-72000000.0,-80000000.0,-51000000.0,22000000.0,
Net Non Operating Interest Income Expense,-259000000.0,-210000000.0,-222000000.0,-262000000.0,-256000000.0,,
Interest Expense Non Operating,429000000.0,427000000.0,432000000.0,405000000.0,412000000.0,,
Interest Income Non Operating,170000000.0,217000000.0,210000000.0,143000000.0,156000000.0,,
Operating Income,1871000000.0,2414000000.0,1188000000.0,3967000000.0,2070000000.0,,
Operating Expense,6549000000.0,6536000000.0,6554000000.0,6300000000.0,5953000000.0,,
Other Operating Expenses,-238000000.0,-241000000.0,-216000000.0,-238000000.0,-190000000.0,,
Provision For Doubtful Accounts,4000000.0,2000000.0,-23000000.0,3000000.0,-9000000.0,,
Depreciation Amortization Depletion Income Statement,290000000.0,268000000.0,257000000.0,261000000.0,252000000.0,,
Depreciation And Amortization In Income Statement,290000000.0,268000000.0,257000000.0,261000000.0,252000000.0,,
Amortization,290000000.0,268000000.0,257000000.0,261000000.0,252000000.0,,
Amortization Of Intangibles Income Statement,290000000.0,268000000.0,257000000.0,261000000.0,252000000.0,,
Research And Development,1876000000.0,1840000000.0,1796000000.0,1748000000.0,1685000000.0,,
Selling General And Administration,4617000000.0,4667000000.0,4740000000.0,4526000000.0,4215000000.0,,
Selling And Marketing Expense,279000000.0,354000000.0,279000000.0,248000000.0,303000000.0,,
General And Administrative Expense,4338000000.0,4313000000.0,4461000000.0,4278000000.0,3912000000.0,,
Other Gand A,3865000000.0,4121000000.0,3915000000.0,4099000000.0,3730000000.0,,
Salaries And Wages,473000000.0,192000000.0,546000000.0,179000000.0,182000000.0,,
Gross Profit,8420000000.0,8950000000.0,7742000000.0,10267000000.0,8023000000.0,,
Cost Of Revenue,6548000000.0,6820000000.0,6719000000.0,7114000000.0,6729000000.0,,
Total Revenue,14967000000.0,15769000000.0,14461000000.0,17380000000.0,14752000000.0,,
Operating Revenue,14967000000.0,15769000000.0,14461000000.0,17380000000.0,14752000000.0,,
