,Date Reported,Holder,pctHeld,Shares,Value
0,2023-06-30,JP Morgan Chase & Company,0.02,83099498,1335408932
1,2023-06-30,First Trust Advisors LP,0.0062,25610533,411561265
2,2023-06-30,Morgan Stanley,0.0055,22887192,367797175
3,2023-06-30,"FMR, LLC",0.0052,21544152,346214522
4,2023-06-30,State Street Corporation,0.0043,17889281,287480745
5,2023-06-30,"Sustainable Growth Advisors, LP",0.004,16525269,265561072
6,2023-06-30,"Fisher Asset Management, LLC",0.0038,15802620,253948103
7,2023-06-30,Lazard Asset Management LLC,0.0036000002,14876013,239057528
8,2023-06-30,FIL LTD,0.003,12326454,198086115
9,2023-06-30,Robeco Institutional Asset Management B.V.,0.0028,11637631,187016730
