,Date Reported,Holder,pctHeld,Shares,Value
0,2023-08-31,iShares Core MSCI Emerging Markets ETF,0.0073,30177081,524175896
1,2023-08-31,iShares MSCI India ETF,0.0047,19466380,338131020
2,2023-09-30,First Trust NASDAQ  Cybersecurity ETF,0.0043,17742707,303577716
3,2023-08-31,Fidelity Series Emerging Markets Opportunities Fund,0.0038,15843788,275206597
4,2023-09-30,iShares MSCI Emerging Markets ETF,0.0023,9562384,163612390
5,2023-07-31,JP Morgan Emerging Markets Equity Fund,0.0014,6002190,99996485
6,2023-07-31,"New World Fund, Inc.",0.0011999999,5096840,84913354
7,2023-08-31,iShares Core MSCI Total International Stock ETF,0.00090000004,3816542,66293334
8,2023-08-31,SPDR Portfolio Emerging Markets ETF,0.00090000004,3857142,66998556
9,2023-09-30,iShares MSCI Emerging Markets ex China ETF,0.00090000004,3859556,66037003
