Ticker,ACN,ACN,ACN,ACN,ACN,ACN,INFY,INFY,INFY,INFY,INFY,INFY,IBM,IBM,IBM,IBM,IBM,IBM
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,
2022-11-21,285.50,288.83,285.09,287.02,278.06,1308100,19.26,19.34,19.24,19.30,18.22,7430300,147.55,147.93,146.45,146.68,134.86,3476200
2022-11-22,288.85,293.75,287.16,292.89,283.75,1417500,19.28,19.41,19.26,19.37,18.28,4605400,147.60,149.35,147.02,149.10,137.09,7062100
2022-11-23,293.08,296.39,292.40,294.53,285.34,1229100,19.31,19.55,19.30,19.53,18.43,3328100,149.10,150.46,148.30,148.75,136.77,3658200
2022-11-25,294.30,297.52,294.30,296.40,287.15,677900,19.83,20.02,19.78,19.92,18.80,3161100,148.27,149.49,148.10,148.37,136.42,2075200
2022-11-28,293.26,294.97,289.78,290.60,281.53,1253100,19.90,19.96,19.61,19.63,18.53,4043200,147.98,148.24,145.94,146.18,134.40,3538100
2022-11-29,289.31,290.62,286.62,287.98,278.99,1055000,19.72,19.89,19.67,19.71,18.60,5516500,145.91,147.17,145.70,146.49,134.69,2754700
2022-11-30,286.62,300.97,286.23,300.93,291.54,2767100,19.84,20.36,19.77,20.35,19.21,6994600,146.19,149.64,145.67,148.90,136.91,6377600
2022-12-01,302.45,305.13,300.00,302.83,293.38,1767200,20.40,20.57,20.25,20.51,19.36,5586800,149.98,150.01,147.34,149.16,137.14,4495900
2022-12-02,299.05,302.15,296.46,300.13,290.76,1744500,20.10,20.29,19.86,20.19,19.06,5674600,148.13,149.16,147.73,148.67,136.69,2900000
2022-12-05,295.77,297.20,290.58,292.74,283.60,1800300,20.04,20.15,19.59,19.75,18.64,7650000,147.94,148.93,146.80,147.41,135.54,2784600
2022-12-06,291.27,292.48,282.27,285.41,276.50,1920300,19.49,19.58,19.18,19.41,18.32,11673400,147.30,147.80,146.70,147.50,135.62,2847600
2022-12-07,285.10,287.06,282.19,286.69,277.74,1861600,19.35,19.43,19.23,19.39,18.30,8087400,147.33,148.10,146.29,147.27,135.41,3971300
2022-12-08,288.00,294.06,286.84,292.15,283.03,2046000,19.54,19.82,19.49,19.58,18.48,6872000,147.90,149.15,147.37,147.78,135.88,2665700
2022-12-09,289.39,291.77,287.88,288.41,279.41,1827200,18.92,19.02,18.41,18.49,17.45,12510700,147.40,148.34,146.97,147.05,135.20,3047600
2022-12-12,286.14,292.95,284.48,292.34,283.22,2429900,18.49,18.53,18.36,18.41,17.38,6741000,147.82,149.21,146.94,149.21,137.19,4032800
2022-12-13,302.96,303.93,292.93,295.35,286.13,3516800,19.01,19.15,18.63,18.73,17.68,13184600,150.37,153.21,149.95,150.57,138.44,8811500
2022-12-14,294.05,297.29,287.86,291.45,282.35,2552200,18.75,18.97,18.60,18.72,17.67,7721700,150.47,151.91,148.45,149.86,137.79,4205900
2022-12-15,287.43,288.39,279.28,281.12,272.35,2870000,18.33,18.36,18.01,18.17,17.15,6568600,148.52,148.98,141.58,142.36,130.89,6687000
2022-12-16,274.67,275.00,263.25,264.48,256.22,6532500,18.11,18.22,17.69,17.73,16.73,15368300,141.25,141.92,138.97,140.16,128.87,9834400
2022-12-19,263.16,264.26,254.16,255.40,247.43,4147500,17.86,17.99,17.79,17.88,16.88,10765900,140.16,140.44,137.20,138.87,127.68,5282900
2022-12-20,253.74,262.43,253.50,261.90,253.73,3102500,17.95,18.21,17.90,18.06,17.05,6483900,138.84,141.43,138.34,141.28,129.90,5156500
2022-12-21,264.48,270.71,264.41,268.92,260.53,3580100,18.02,18.27,18.02,18.22,17.20,4228200,141.84,143.09,140.98,142.14,130.69,3793700
2022-12-22,264.44,265.93,260.64,264.76,256.50,2276200,18.04,18.08,17.73,17.93,16.92,7911000,140.95,141.44,138.62,140.88,129.53,3337100
2022-12-23,265.79,266.71,263.31,266.09,257.78,1213300,17.82,17.95,17.73,17.92,16.91,3685100,140.59,141.86,139.60,141.65,130.24,2092500
2022-12-27,265.92,267.22,263.70,265.31,257.03,1009600,18.01,18.09,17.84,18.03,17.02,4943200,141.73,142.72,141.23,142.42,130.95,2742400
2022-12-28,266.10,269.14,262.67,263.12,254.91,1387000,18.05,18.19,17.92,17.96,16.95,5872100,142.40,142.81,139.95,140.02,128.74,2539500
2022-12-29,265.59,270.87,265.59,268.38,260.00,1516800,18.09,18.38,18.09,18.24,17.21,4971600,140.58,142.26,140.45,141.06,129.70,2337200
2022-12-30,265.54,266.89,262.60,266.84,258.51,1339500,18.09,18.18,17.85,18.01,17.00,4468300,140.54,140.90,139.45,140.89,129.54,2858000
2023-01-03,269.20,273.42,267.05,270.26,261.82,2250100,18.18,18.35,18.06,18.23,17.21,11041400,141.10,141.90,140.48,141.55,130.15,3338600
2023-01-04,273.43,274.98,267.01,269.34,260.93,2052400,17.94,18.17,17.86,18.10,17.08,10440400,142.07,143.62,141.37,142.60,131.11,3869200
2023-01-05,267.42,268.14,261.40,262.98,254.77,2477100,17.81,17.87,17.68,17.68,16.69,6420300,142.44,142.50,140.01,141.11,129.74,2866600
2023-01-06,263.98,270.49,261.37,269.21,260.81,1587000,17.53,17.84,17.47,17.81,16.81,8915600,142.38,144.25,141.58,143.70,132.12,3574000
2023-01-09,271.92,278.49,271.51,273.75,265.21,2181500,18.09,18.24,17.99,18.00,16.99,10778100,144.08,145.47,143.40,143.55,131.99,3987700
2023-01-10,273.34,276.29,271.27,274.93,266.35,1853000,17.93,17.94,17.69,17.83,16.83,9517600,143.61,144.85,142.90,144.80,133.14,2152100
2023-01-11,274.93,281.19,274.71,281.08,273.42,2382400,17.82,18.15,17.74,18.12,17.10,9032200,145.00,145.53,143.45,145.26,133.56,3268700
2023-01-12,282.74,287.97,282.37,283.84,276.11,2482500,18.52,18.61,18.06,18.40,17.37,10853600,144.88,146.66,144.52,145.55,133.83,2715900
